"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Antigua and Barbuda","ATG","Population ages 65-69, female (% of female population)","SP.POP.6569.FE.5Y","1.88993307209488","1.97894592931848","2.08333333333333","2.13537335772493","2.1310776695846","2.11681187479832","2.16406324260955","2.2340987477861","2.29692218527895","2.32460229152257","2.35844837353529","2.39633256928527","2.4389514899722","2.47040038562348","2.50182392996109","2.53199436654216","2.55873387320257","2.59318785930642","2.62171123988968","2.64890379479535","2.67326424547973","2.69410664172124","2.71830722177143","2.74186496783461","2.7690095946495","2.79680900985453","2.80520294624667","2.82079472278938","2.8438550733746","2.87208719619143","2.89891058071324","2.79850746268657","2.70537776311448","2.61075949367089","2.52328970680688","2.45506479030235","2.3879380603097","2.31498649149759","2.23624001447739","2.1443924642812","2.06466982653796","2.08190792688887","2.11852137824534","2.17733849018765","2.24620907931409","2.32536421367202","2.32483122508698","2.34935926565482","2.40243602086738","2.48570608622707","2.58755880815473","2.66095897777873","2.74907513713484","2.85329800878908","2.96088223054515","3.07356364460375","3.1590547324599","3.2403568033334","3.32310530854541","",
"Australia","AUS","Population ages 65-69, female (% of female population)","SP.POP.6569.FE.5Y","3.61801109957753","3.5703706594936","3.52607477908969","3.48510759544136","3.4468539695266","3.41141364113409","3.33632786765721","3.26627783574117","3.20520145272917","3.16687190130363","3.16379078602691","3.21052909871022","3.27004724848823","3.32927962069444","3.38716243043453","3.45249976787839","3.51634290680726","3.60869796675977","3.70837895206926","3.78667581467904","3.8296419830274","3.83039676962689","3.79046306937508","3.73513954002781","3.70536806923642","3.72438522109049","3.75884857115446","3.8380549165019","3.93292170398346","4.00702370165118","4.04448077641841","4.05246321637158","4.03477602369985","3.99376867771002","3.93895662652946","3.87992895856436","3.80679038211042","3.72757521792616","3.65097767735361","3.59125355834119","3.5596229836655","3.54340271134897","3.562470823577","3.60743936168493","3.66322132535661","3.72114524902572","3.74610120648668","3.77342807190559","3.82224510242097","3.9133005480633","4.04931146427889","4.20578209203738","4.39645832424652","4.58867190534499","4.74142758335118","4.83663725528735","4.90096101557928","4.9161504798202","4.90519913985198","",
"Austria","AUT","Population ages 65-69, female (% of female population)","SP.POP.6569.FE.5Y","5.14270933690004","5.20617099864534","5.297394435117","5.40409767859639","5.51081972030345","5.60908549302268","5.64866720274294","5.68642296766954","5.72588111017022","5.77265221945823","5.82799521099424","5.83997798460672","5.85576024812227","5.87342928220212","5.89096262099193","5.90482816857855","5.89592100903273","5.90467263239092","5.89274476801928","5.80079763021752","5.5999822398582","5.25846441838106","4.79418860767851","4.32583219447789","4.03532795770258","4.02271156477945","4.22430189034276","4.69203027632459","5.27628901546801","5.75414115116195","5.99746902860881","6.03399702837861","5.87730505546476","5.59772272852668","5.30602877785198","5.06377344587077","4.83411116357804","4.63857659831122","4.48638563847048","4.3896842636859","4.35761082932486","4.36556093230363","4.43726671962702","4.5583129909791","4.70891592724976","4.87472053568503","5.04752205185313","5.24584058483614","5.44020501963635","5.58581510678182","5.6558539262956","5.64967889895547","5.5737837495695","5.45648552868786","5.34221605408677","5.25901628686701","5.17008618118456","5.10803593105123","5.08326365285603","",
"Azerbaijan","AZE","Population ages 65-69, female (% of female population)","SP.POP.6569.FE.5Y","1.78999891741873","1.84490889118173","1.98454221823597","2.16567522736373","2.3391270426076","2.48156134323919","2.57462835116008","2.66281813483749","2.73427860310656","2.76926133343356","2.75871324456781","2.66725780049528","2.53538137404492","2.39688932092765","2.29540348437913","2.25054942934134","2.2335798615823","2.27061427318662","2.3279196381453","2.35810664568815","2.33841112085236","2.23763963458032","2.09462137414681","1.94436154318638","1.83287540128285","1.78184914081429","1.76611591621928","1.7866063378778","1.83872471271498","1.92447050071889","2.04827424661154","2.18785356993986","2.3554816249769","2.51824922923631","2.64071213416372","2.71162998697615","2.72737450459886","2.70475262407262","2.67672804341317","2.68375743033582","2.74112516404547","2.84606088760834","2.99329498510392","3.12443305142182","3.16108715848089","3.06881594976316","2.84117157904463","2.5228186858412","2.18333835600712","1.91244088310808","1.75555006994158","1.68459025467531","1.69535114681485","1.77320521887162","1.90037057487753","2.06748626668002","2.25849223774378","2.49278745773023","2.75894779379839","",
"Burundi","BDI","Population ages 65-69, female (% of female population)","SP.POP.6569.FE.5Y","1.4227343116748","1.43887868800419","1.4640500590042","1.49286703542267","1.51898490881542","1.53916766939027","1.53529105551643","1.52841505705948","1.52154684672191","1.51811435656201","1.51987071592733","1.5197092720505","1.52174244603063","1.52664677857045","1.53115609396716","1.53177619718221","1.51512889176305","1.49828808094302","1.48385548708891","1.47474835605084","1.47056143995044","1.45381775108925","1.44023916483865","1.42690085753101","1.41228708262729","1.39698733156342","1.37468578667536","1.35604986703909","1.34145118598724","1.3304109864102","1.32184409362197","1.29702727886016","1.27326380322437","1.25247309679146","1.2375911002718","1.23008750133904","1.22517857033342","1.22154985476927","1.21522122413179","1.20146534369474","1.17790795834728","1.14920292842145","1.11926159026608","1.08992019753824","1.06294922686565","1.03907055185983","1.01560212772082","0.997644360148258","0.983225372999732","0.969406233974921","0.955386068729909","0.932975222523886","0.910182162698111","0.896089138358113","0.902744659954177","0.934747613660268","0.97799912899639","1.03846662299135","1.10673773157009","",
"Belgium","BEL","Population ages 65-69, female (% of female population)","SP.POP.6569.FE.5Y","4.83120936772334","4.89148183897993","4.9704988870863","5.06174547143384","5.15616015748256","5.24849843164441","5.29628251918543","5.34953798526795","5.40286153462912","5.44900750614611","5.4830291459513","5.46581912828739","5.43213605602269","5.392399762781","5.36253780986917","5.34871021750043","5.31700311790624","5.32041386001353","5.31799786143388","5.24784101399547","5.08054942855388","4.80253012269979","4.42071536855478","4.03547224065385","3.79914289014442","3.7947443516664","3.97569166989021","4.37358004003","4.87497039716442","5.31054568964537","5.58251111643765","5.6888052506407","5.6583842748428","5.54517774318292","5.43380533001003","5.37140285954098","5.3257833854455","5.31358102276069","5.3182815389723","5.31388802390291","5.28620265260158","5.22092022710307","5.15052288050318","5.07373720448165","4.98854498352668","4.8958149144277","4.76720109140841","4.61652552175634","4.47996258511213","4.4132153113095","4.44724359206966","4.57520374409945","4.80104682440754","5.06575288947572","5.28837893650607","5.42728490963266","5.52653870809294","5.55882051138537","5.55396803974925","",
"Benin","BEN","Population ages 65-69, female (% of female population)","SP.POP.6569.FE.5Y","2.37880853293343","2.36030048917383","2.35140905046154","2.34599978022011","2.33618546037598","2.31918969352654","2.29309922732993","2.25940987513455","2.22494013884343","2.19689981321084","2.17774079566516","2.14771080499009","2.12432327980816","2.10527489629127","2.08713603768045","2.06816190580916","2.02876009447471","1.99030614684809","1.95522852950144","1.92673553919906","1.90548586169345","1.86886207436245","1.83963747450561","1.81543232547368","1.79346353786607","1.77195507553521","1.73502897958032","1.70111224428169","1.67073813646102","1.64471744908285","1.62277211795617","1.58582754016571","1.55435079342686","1.52923543543118","1.51167734061081","1.50199581904308","1.48197265136042","1.46977151662586","1.46428878726509","1.46385122796733","1.46749091610663","1.45809361315731","1.45194156046949","1.45142035155878","1.45949026452782","1.47699637008946","1.48933294067097","1.50961189120073","1.53187654877225","1.54831402205109","1.55521529364507","1.54023073519159","1.52098826821","1.50098553474562","1.48392736387698","1.47170188264607","1.44925170177839","1.43141408649868","1.41991478321442","",
"Burkina Faso","BFA","Population ages 65-69, female (% of female population)","SP.POP.6569.FE.5Y","1.22430424415913","1.24511183847987","1.2661752996182","1.28986636881564","1.31847036099177","1.35297965500204","1.37902217982352","1.40818475779649","1.43944223957196","1.47119095104641","1.50330693543157","1.52000733487671","1.53717691723821","1.55646313414864","1.57903408013379","1.60503103152001","1.61949428999058","1.63569940260931","1.65307398887552","1.67043100717501","1.68713402872907","1.68690999817058","1.68782223739653","1.69015593933897","1.69384159835815","1.698572462338","1.67988223323026","1.66421044618524","1.65135902004861","1.64062225831842","1.63146290970521","1.59949899327394","1.57092400074358","1.54616012234472","1.52555369805314","1.50884775313522","1.4738366206578","1.44357836569585","1.4190451493378","1.40158509989388","1.39148287528768","1.36857843371332","1.35212816515489","1.34160334163136","1.336483281701","1.33610159631008","1.32374781143362","1.31679827063463","1.31301721194009","1.30965590008038","1.3054566123917","1.28633419752283","1.26860972743885","1.2545171119652","1.24651996435248","1.24567689458816","1.23817664091787","1.2365367657972","1.24034422035795","",
"Bangladesh","BGD","Population ages 65-69, female (% of female population)","SP.POP.6569.FE.5Y","1.26692229948078","1.27134951047305","1.27798850312798","1.28561894913701","1.29332917881632","1.30207008837272","1.3041397294123","1.30640498164458","1.30832410204358","1.31007244327129","1.31349845898902","1.31799212743933","1.32362937979941","1.33400163509807","1.35259031435408","1.38055934868239","1.38109505934302","1.38436492602627","1.38768803062531","1.3894110166532","1.39032121750152","1.38346674082423","1.37585785090015","1.36857601601995","1.3635596722021","1.36263817384116","1.36784903974787","1.3776439955324","1.39058791041505","1.4052616583395","1.42140801297659","1.43270498790786","1.44686296850836","1.46356447125609","1.4819793910552","1.5018612956244","1.51621946133616","1.53105513125085","1.54911457448516","1.57321135120729","1.60423631110546","1.61847779122148","1.63360898056073","1.65166645586113","1.67578804539391","1.70756115216537","1.73696167730073","1.7691083515868","1.79863421382193","1.81889528688202","1.82747895971679","1.83519584707713","1.83810405982423","1.83260221014943","1.812944370434","1.77832356102672","1.72845425832209","1.6646697671992","1.60651880845168","",
"Bulgaria","BGR","Population ages 65-69, female (% of female population)","SP.POP.6569.FE.5Y","2.96781079031705","3.0203488080049","3.12390954948843","3.25823024072809","3.39895834737192","3.53576369723952","3.64307399106278","3.75133198062103","3.86348578843911","3.98594986141205","4.12185221648943","4.22816195936581","4.33623703654171","4.43633546251825","4.52533359175892","4.60627715046293","4.64624043416402","4.71599467838607","4.78063389001462","4.77878007356508","4.67767256785711","4.42329581595655","4.05435056457198","3.68110281233218","3.47292685891431","3.52506405500387","3.80224517815385","4.31687442406187","4.94173816215633","5.49362499056951","5.86996383151346","6.04081430960341","6.07090095362345","6.02242718081983","5.98578763378336","6.00970137005902","6.023134496548","6.08106805188374","6.1528040674015","6.19435581646471","6.1823471954793","6.09803554751637","5.97191343328103","5.82678372293145","5.70408377063435","5.63353835175729","5.5764923977692","5.56605292215657","5.61219111633365","5.73438453110889","5.94333092086663","6.1844121423498","6.52152714803184","6.89291743127111","7.20751642726726","7.41044399766908","7.47437913974866","7.4310459171584","7.31994105123098","",
