"","day_of_infection","latitude","longitude","population_density","median_age","aged_65_older","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","border_closure","wear_protective_gear_in_public_requirement","businesses_and_public_services_closure","curfews","economic_measures","suspension_international_flights","imports_exports_limit","gatherings_limit","partial_lockdown","schools_closure","established_emergency","quarantine_isolation_policies","full_lockdown","mass_testing","checkpoints_within_the_country","military_deployment","Africa","Asia","Europe","North.America","Oceania","South.America","AFRO","AMRO","EMRO","EURO","SEARO","WPRO","airports_per_pop","temperatura","precip","PERC_POBLACION_RURAL","prison_pop","diabetes","expend__health_public","HIV","lit_rate","non_transm_mortality","num_physicians","tuberculosis","log_population","log_gdp_per_capita","log_n_airports","log_turismo","cumulative_cases"
"126",41,31.7917,-7.0926,80.08,29.6,6.769,1,419.146,7.14,0.8,47.1,80.001,1.1,76.68,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.49008855406629,17.2250961033,322.266544538,37.547,220,7,2.25047077983618,0.1,73.75001,12.4,0.7308,99,17.4240082198387,8.92079162503781,4.02535169073515,16.3242151926403,1617
"127",39,-18.6657,35.5296,37.728,17.7,3.158,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.13545468172175,23.6893595864,1007.80579276,64.012,65,3.3,1.47562064230442,12.6,60.65543,18.4,0.0838,551,17.2577038710188,7.03623907891758,4.59511985013459,14.824563134484,76
"128",35,21.9162,95.956,81.721,29.1,5.732,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1.17625881840317,22.956920878,2007.70073428,69.421,120,3.9,0.689848139882088,0.8,75.5512,24.2,0.677,338,17.8120547507652,8.62919903787189,4.17438726989564,15.082740093536,146
"129",44,-22.9576,18.4904,3.078,22,3.552,13.4,243.811,3.94,9.7,34.2,44.6,0,63.71,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,44.0785921297674,20.0380348544,273.831201087,49.968,191,4.5,3.94567362964153,11.8,91.52727,21.3,0.4182,524,14.7480355974634,9.16354306075556,4.72738781871234,14.2203094441959,16
"130",109,28.1667,84.25,204.43,25,5.809,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.61307992282477,12.7439404148,1406.41177368,80.26,48,7.2,1.24062346294522,0.1,67.90843,21.8,0.7486,151,17.1875128469012,7.80131112067624,3.87120101090789,13.9750759801502,121
"131",32,52.1326,5.2913,508.544,43.2,18.779,0.28,109.361,5.29,24.4,27.3,94.8698,3.32,82.28,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.69245491343881,9.2017376425,766.068878174,8.51000000000001,82,5.4,6.50473237037659,0.2,99.523831,11.2,3.6054,5.3,16.6566263598935,10.7887734641885,3.40119738166216,16.7483030849925,10866
"132",35,-20.9043,165.618,15.342,33.4,9.954,1.67,0,23.36,6.15,23.3,78.374,0,77.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,87.5684347317429,21.9649998333,1456.20668538,29.317,246.9,21.8,3.52181931957603,0.51,97.8,16.39,2.51519,15,12.5619692866698,10.9790976105841,3.25809653802148,11.6952553550628,18
"133",47,-40.9006,174.886,18.206,37.9,15.322,0.63,128.797,8.08,14.8,17.2,82.6126,2.61,82.29,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,25.5068554339867,9.975832156,1790.94567393,13.462,192,6.2,6.91932514309883,0.1,97.944239,10.1,3.5898,7.3,15.3887478641277,10.4936836180556,4.82028156560504,15.1200526885087,1078
"134",63,12.8654,-85.2072,51.667,27.3,5.445,3.2,137.016,11.47,3.41,24.26,79.4258,0.9,74.48,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,22.1901731044837,24.5887827261,2406.96939485,41.478,153,11.4,5.02174384891987,0.2,82.61455,14.2,0.9775,41,15.7062937577692,8.57968787534075,4.99721227376411,14.0434434221883,279
"135",37,17.6078,8.0817,16.955,15.1,2.553,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.23932957888077,27.2387295245,160.803172125,83.575,42,2.4,2.58716978132725,0.3,30.56039,20,0.0433,87,17.0021374097239,6.83195356556585,3.43398720448515,11.9640074537369,681
