,day_of_infection,latitude,longitude,population_density,median_age,aged_65_older,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,border_closure,wear_protective_gear_in_public_requirement,businesses_and_public_services_closure,curfews,economic_measures,suspension_international_flights,imports_exports_limit,gatherings_limit,partial_lockdown,schools_closure,established_emergency,quarantine_isolation_policies,full_lockdown,mass_testing,checkpoints_within_the_country,military_deployment,Africa,Asia,Europe,North America,Oceania,South America,AFRO,AMRO,EMRO,EURO,SEARO,WPRO,airports_per_pop,temperatura,precip,PERC_POBLACION_RURAL,prison_pop,diabetes,expend__health_public,HIV,lit_rate,non_transm_mortality,num_physicians,tuberculosis,log_population,log_gdp_per_capita,log_n_airports,log_turismo
141,42.0,30.3753,69.3451,255.57299999999998,23.5,4.495,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.683590957261436,19.9810149025,301.017805117,63.333999999999996,39.0,19.9,0.915535353124142,0.1,59.13205,24.7,0.9801,265.0,19.213185955248242,8.524309410957372,5.0238805208462765,14.644119277759572
142,31.0,8.538,-80.7821,55.133,29.7,7.917999999999999,2.2,128.346,8.33,2.4,9.9,75.5473,2.3,78.51,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27.116174032995502,24.7223333512,2487.02656047,32.291,411.0,7.7,4.38573360443115,0.9,95.41181,13.0,1.5687,52.0,15.277554346883578,10.010907610879169,4.770684624465665,14.394929533419809
143,39.0,-23.4425,-58.4438,17.144000000000002,26.5,6.377999999999999,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,112.021961351722,23.4801900351,1093.89459594,38.415,118.0,9.6,3.02581451833248,0.5,94.0208,17.5,1.3544,43.0,15.780176708362484,9.085684900135387,6.684611727667927,13.981872941919192
144,33.0,-9.19,-75.0152,25.129,29.1,7.151,3.5,85.755,5.95,4.8,0.0,67.7581,1.6,76.74,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.7928209418423195,19.4565089518,1513.24211891,22.093000000000004,202.0,6.6,3.1645134091377294,0.3,94.40827,12.6,1.3048,123.0,17.311164634103626,9.41227712020066,5.2574953720277815,15.301424210408394
145,67.0,13.0,122.0,351.87300000000005,25.2,4.803,1.2,370.43699999999995,7.07,7.8,40.8,78.46300000000001,1.0,71.23,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.2540386417966203,25.3266741931,2317.59269526,53.093,111.0,7.1,1.41886975616217,0.1,98.18255,26.8,0.6004,554.0,18.512175344593057,8.935928262810577,5.5134287461649825,15.785137373145822
146,32.0,51.9194,19.1451,124.027,41.8,16.762999999999998,0.2,227.331,5.91,23.3,33.1,93.7604,6.62,78.73,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.32922860584192,7.86883191521,600.659095624,39.942,217.0,6.1,4.51180674135685,0.19000000000000003,99.13065800000001,18.7,2.3788,16.0,17.44905186407815,10.21161340699459,4.844187086458591,16.792161994668675
147,33.0,39.3999,-8.2245,112.37100000000001,46.2,21.502,0.5,127.84200000000001,9.85,16.3,30.0,88.519,3.39,82.05,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.276536140540269,14.9703808743,835.346832275,34.789,136.0,9.8,5.9428621083498,0.5,96.13759,11.1,5.124,24.0,16.137575481063053,10.237739325752111,4.174387269895637,16.599657290819568
148,35.0,18.231316,-66.460258,376.23199999999997,38.2,15.168,1.4899999999999998,108.094,12.9,8.22,24.029999999999998,82.37229999999998,0.0,80.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.1368828735616,24.27766673,2126.0209554000003,6.422000000000001,690.8,13.7,4.852748420089485,1.39,92.39,14.370000000000001,3.01856,0.95,14.866626195514115,10.464407347028175,3.4011973816621555,14.936536767414472
149,35.0,25.3548,51.1839,227.322,31.9,1.307,0.6099999999999999,176.69,16.52,0.8,26.9,91.88480000000001,1.2,80.23,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.08256683304062,26.917333603299998,65.2212638867,0.8649999999999949,60.0,15.6,2.10516639053822,0.29000000000000004,93.46397,15.3,2.4852,31.0,14.873669187046264,11.6693871865678,1.9459101490553132,14.413962919346702
150,41.0,36.0,128.0,527.967,43.4,13.914000000000001,0.2,85.99799999999999,6.8,6.2,40.9,83.93609999999998,12.27,83.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1650432775571997,10.6598023119,1344.7313494,18.541,99.0,6.9,4.362900927662849,0.41000000000000003,96.797222,7.8,2.3608,66.0,17.75260042789303,10.489588742267102,4.718498871295094,16.546430638316544
